VDD,Ib,Lg1,Lg2,Lrf,Wcf,Wg1,Wg2,temperature,Pass/Fail,ACM_G,SR,CMRR,NOISE,PSRR,PhaseMargin_PM,BandWidth
2,5.00E-06,2.80E-07,2.80E-07,1.50E-05,2.50E-05,1.00E-05,1.00E-05,125,fail,50.63,2.56E+07,59.45,6.81E-05,-76.25,71.76,1.59E+05
2,5.00E-06,2.80E-07,2.80E-07,1.50E-05,2.50E-05,1.00E-05,1.50E-05,27,fail,51.87,2.48E+07,59.4,5.32E-05,-73.42,74.58,1.78E+05
2,5.00E-06,2.80E-07,2.80E-07,1.50E-05,2.50E-05,1.00E-05,1.50E-05,125,fail,50.69,2.53E+07,56.84,6.81E-05,-73.42,70.61,1.54E+05
2,5.00E-06,2.80E-07,2.80E-07,1.50E-05,2.50E-05,1.50E-05,5.00E-06,27,fail,51.57,2.52E+07,73.47,5.07E-05,-86.28,72.62,2.05E+05
2,5.00E-06,2.80E-07,2.80E-07,1.50E-05,2.50E-05,1.50E-05,5.00E-06,125,fail,50.64,2.57E+07,69.73,6.51E-05,-87.68,68.73,1.73E+05
2,5.00E-06,2.80E-07,2.80E-07,1.50E-05,2.50E-05,1.50E-05,1.00E-05,27,fail,51.95,2.49E+07,62.45,5.07E-05,-77.03,72.95,1.92E+05
2,5.00E-06,2.80E-07,2.80E-07,1.50E-05,2.50E-05,1.50E-05,1.00E-05,125,fail,50.87,2.54E+07,59.56,6.51E-05,-77.74,68.93,1.64E+05
2,5.00E-06,2.80E-07,2.80E-07,1.50E-05,2.50E-05,1.50E-05,1.50E-05,27,fail,52.11,2.46E+07,59.74,5.07E-05,-74.48,71.58,1.85E+05
2,5.00E-06,2.80E-07,2.80E-07,1.50E-05,2.50E-05,1.50E-05,1.50E-05,125,fail,50.93,2.51E+07,56.97,6.51E-05,-74.91,67.81,1.59E+05
2,5.00E-06,2.80E-07,2.80E-07,1.50E-05,3.00E-05,5.00E-06,5.00E-06,27,fail,50.76,2.31E+07,72.33,6.02E-05,-83.88,87.37,1.28E+05
2,5.00E-06,2.80E-07,2.80E-07,1.50E-05,3.00E-05,5.00E-06,5.00E-06,125,fail,49.86,2.30E+07,69.06,7.60E-05,-84.08,82.53,1.09E+05
2,5.00E-06,2.80E-07,2.80E-07,1.50E-05,3.00E-05,5.00E-06,1.00E-05,27,fail,51.13,2.28E+07,61.23,6.01E-05,-74.31,88.25,1.21E+05
2,5.00E-06,2.80E-07,2.80E-07,1.50E-05,3.00E-05,5.00E-06,1.00E-05,125,fail,50.07,2.29E+07,58.89,7.59E-05,-74.02,83.09,1.05E+05
2,5.00E-06,2.80E-07,2.80E-07,1.50E-05,3.00E-05,5.00E-06,1.50E-05,27,fail,51.28,2.23E+07,58.48,6.01E-05,-71.69,87.51,1.17E+05
2,5.00E-06,2.80E-07,2.80E-07,1.50E-05,3.00E-05,5.00E-06,1.50E-05,125,fail,50.12,2.25E+07,56.25,7.59E-05,-71.2,82.41,1.02E+05
2,5.00E-06,2.80E-07,2.80E-07,1.50E-05,3.00E-05,1.00E-05,5.00E-06,27,fail,51.34,2.29E+07,73.16,5.33E-05,-85.43,85.45,1.39E+05
2,5.00E-06,2.80E-07,2.80E-07,1.50E-05,3.00E-05,1.00E-05,5.00E-06,125,fail,50.41,2.32E+07,69.61,6.82E-05,-86.27,80.31,1.18E+05
2,5.00E-06,2.80E-07,2.80E-07,1.50E-05,3.00E-05,1.00E-05,1.00E-05,27,fail,51.72,2.26E+07,62.12,5.32E-05,-76,86.41,1.32E+05
2,5.00E-06,2.80E-07,2.80E-07,1.50E-05,3.00E-05,1.00E-05,1.00E-05,125,fail,50.63,2.27E+07,59.45,6.81E-05,-76.25,80.95,1.13E+05
2,5.00E-06,2.80E-07,2.80E-07,1.50E-05,3.00E-05,1.00E-05,1.50E-05,27,fail,51.87,2.23E+07,59.4,5.32E-05,-73.42,85.55,1.27E+05
2,5.00E-06,2.80E-07,2.80E-07,1.50E-05,3.00E-05,1.00E-05,1.50E-05,125,fail,50.69,2.23E+07,56.84,6.82E-05,-73.42,80.2,1.10E+05
2,5.00E-06,2.80E-07,2.80E-07,1.50E-05,3.00E-05,1.50E-05,5.00E-06,27,fail,51.57,2.28E+07,73.47,5.07E-05,-86.28,83.52,1.44E+05
2,5.00E-06,2.80E-07,2.80E-07,1.50E-05,3.00E-05,1.50E-05,5.00E-06,125,fail,50.64,2.30E+07,69.73,6.52E-05,-87.68,78.39,1.22E+05
2,5.00E-06,2.80E-07,2.80E-07,1.50E-05,3.00E-05,1.50E-05,1.00E-05,27,fail,51.95,2.26E+07,62.45,5.07E-05,-77.03,84.49,1.37E+05
2,5.00E-06,2.80E-07,2.80E-07,1.50E-05,3.00E-05,1.50E-05,1.00E-05,125,fail,50.87,2.26E+07,59.56,6.51E-05,-77.74,79.08,1.17E+05
2,5.00E-06,2.80E-07,2.80E-07,1.50E-05,3.00E-05,1.50E-05,1.50E-05,27,fail,52.11,2.22E+07,59.74,5.07E-05,-74.48,83.63,1.32E+05
2,5.00E-06,2.80E-07,2.80E-07,1.50E-05,3.00E-05,1.50E-05,1.50E-05,125,fail,50.93,2.22E+07,56.97,6.52E-05,-74.91,78.32,1.14E+05
2,5.00E-06,2.80E-07,2.80E-07,1.50E-05,3.50E-05,5.00E-06,5.00E-06,27,fail,50.76,1.84E+07,72.33,6.02E-05,-83.88,92.88,9.50E+04
2,5.00E-06,2.80E-07,2.80E-07,1.50E-05,3.50E-05,5.00E-06,5.00E-06,125,fail,49.86,1.82E+07,69.06,7.60E-05,-84.08,87.45,8.08E+04
