Temp (0C),Sw.Freq.,MN,MP,M_DRVRN,M_DRVRP,RL(Ohms),No. Phases,Pass/Fail,Eff1(%),HSLoss(W),LSLoss(W),Pin(W),Pout(W),VDD(W),Closs(W),Lloss(W),,,,
27,8.00E+07,31,83,7,17,0.5,8,fail,84.01,1.20E-01,6.57E-02,2.347,1.974,2.81E-03,3.78E-05,1.26E-01,,,,
27,8.00E+07,34,92,7,18,0.5,8,fail,84.53,1.12E-01,6.05E-02,2.365,2.002,3.14E-03,4.10E-05,1.28E-01,,,,
27,8.00E+07,38,100,8,20,0.5,8,fail,84.94,1.07E-01,5.47E-02,2.382,2.027,3.64E-03,4.52E-05,1.30E-01,,,,
27,8.00E+07,41,108,9,22,0.5,8,pass,85.24,1.03E-01,5.09E-02,2.396,2.045,4.05E-03,4.71E-05,1.31E-01,,,,
27,8.00E+07,44,117,9,23,0.5,8,pass,85.5,9.97E-02,4.79E-02,2.41,2.064,4.38E-03,5.21E-05,1.32E-01,,,,
27,8.00E+07,47,125,10,25,0.5,8,pass,85.69,9.63E-02,4.45E-02,2.421,2.079,4.80E-03,5.51E-05,1.33E-01,,,,
27,8.00E+07,50,133,11,27,0.5,8,pass,85.85,9.41E-02,4.19E-02,2.431,2.092,5.21E-03,5.76E-05,1.34E-01,,,,
27,8.00E+07,53,142,11,28,0.5,8,pass,86,9.21E-02,3.99E-02,2.442,2.105,5.53E-03,5.81E-05,1.35E-01,,,,
27,8.00E+07,56,150,12,30,0.5,8,pass,86.09,9.06E-02,3.76E-02,2.452,2.116,5.94E-03,6.37E-05,1.36E-01,,,,
27,8.00E+07,59,158,13,32,0.5,8,pass,86.17,8.98E-02,3.62E-02,2.461,2.126,6.34E-03,6.34E-05,1.36E-01,,,,
27,8.00E+07,62,167,13,33,0.5,8,pass,86.24,8.84E-02,3.49E-02,2.47,2.135,6.62E-03,6.34E-05,1.37E-01,,,,
27,8.00E+07,66,175,14,35,0.5,8,pass,86.29,8.64E-02,3.27E-02,2.478,2.144,7.08E-03,6.56E-05,1.37E-01,,,,
27,8.00E+07,69,183,15,37,0.5,8,pass,86.31,8.67E-02,3.21E-02,2.487,2.153,7.45E-03,7.32E-05,1.38E-01,,,,
27,8.00E+07,72,192,15,38,0.5,8,pass,86.33,8.55E-02,3.10E-02,2.494,2.16,7.71E-03,8.12E-05,1.38E-01,,,,
27,8.00E+07,75,200,16,40,0.5,8,pass,86.32,8.58E-02,3.08E-02,2.5,2.165,8.07E-03,6.75E-05,1.39E-01,,,,
27,8.00E+07,78,208,17,42,0.5,8,pass,86.3,8.57E-02,3.05E-02,2.507,2.171,8.42E-03,7.23E-05,1.39E-01,,,,
27,8.00E+07,16,42,3,8,0.75,8,fail,82.48,1.06E-01,6.14E-02,1.586,1.309,1.20E-03,1.40E-05,5.58E-02,,,,
27,8.00E+07,19,50,4,10,0.75,8,fail,83.85,9.24E-02,5.39E-02,1.608,1.349,1.52E-03,1.68E-05,5.76E-02,,,,
27,8.00E+07,22,58,5,12,0.75,8,fail,84.8,8.24E-02,4.78E-02,1.625,1.38,1.88E-03,2.54E-05,5.90E-02,,,,
27,8.00E+07,25,67,5,13,0.75,8,pass,85.56,7.42E-02,4.28E-02,1.64,1.405,2.20E-03,4.29E-05,6.01E-02,,,,
27,8.00E+07,28,75,6,15,0.75,8,pass,86.09,6.88E-02,3.86E-02,1.652,1.424,2.61E-03,4.46E-05,6.10E-02,,,,
27,8.00E+07,31,83,7,17,0.75,8,pass,86.5,6.46E-02,3.50E-02,1.662,1.44,3.01E-03,4.53E-05,6.18E-02,,,,
27,8.00E+07,34,92,7,18,0.75,8,pass,86.82,6.12E-02,3.20E-02,1.673,1.455,3.35E-03,5.69E-05,6.22E-02,,,,
27,8.00E+07,38,100,8,20,0.75,8,pass,87.09,6.00E-02,2.93E-02,1.682,1.468,3.85E-03,6.08E-05,6.26E-02,,,,
27,8.00E+07,41,108,9,22,0.75,8,pass,87.26,5.71E-02,2.70E-02,1.689,1.477,4.26E-03,5.11E-05,6.35E-02,,,,
27,8.00E+07,44,117,9,23,0.75,8,pass,87.39,5.59E-02,2.53E-02,1.697,1.487,4.59E-03,5.60E-05,6.37E-02,,,,
27,8.00E+07,47,125,10,25,0.75,8,pass,87.46,5.45E-02,2.36E-02,1.704,1.495,4.99E-03,5.92E-05,6.40E-02,,,,
27,8.00E+07,50,133,11,27,0.75,8,pass,87.51,5.38E-02,2.26E-02,1.711,1.502,5.38E-03,5.96E-05,6.43E-02,,,,
27,8.00E+07,53,142,11,28,0.75,8,pass,87.55,5.28E-02,2.17E-02,1.717,1.508,5.65E-03,5.81E-05,6.47E-02,,,,
27,8.00E+07,56,150,12,30,0.75,8,pass,87.54,5.12E-02,2.03E-02,1.723,1.514,6.02E-03,6.01E-05,6.48E-02,,,,
